disease_id,disease_key,disease_name,category,training_records,dataset_top_symptoms,self_care_level,safe_self_care_draft,avoid_or_caution,when_to_seek_medical_care,general_emergency_warning_signs,medlineplus_lookup_url,nhs_lookup_url,review_status,validation_note
28,cornea_infection,Cornea Infection,Eye,816,lip swelling (62%); spots or clouds in vision (54%); diminished vision (52%); eye burns or stings (52%); symptoms of eye (52%); pain in eye (51%); itchiness of eye (51%); eye redness (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=cornea+infection,https://www.nhs.uk/search/results/?q=cornea+infection,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
29,croup,Croup,Respiratory / ENT,807,nasal congestion (66%); vomiting (55%); cough (53%); abnormal breathing sounds (51%); fever (51%); hoarse voice (51%); pulling at ears (51%); wheezing (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=croup,https://www.nhs.uk/search/results/?q=croup,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
30,cystitis,Cystitis,Urinary / reproductive / pregnancy,1219,involuntary urination (52%); side pain (52%); symptoms of bladder (52%); frequent urination (51%); suprapubic pain (50%); blood in urine (50%); lower abdominal pain (50%); sharp abdominal pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=cystitis,https://www.nhs.uk/search/results/?q=cystitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
31,degenerative_disc_disease,Degenerative Disc Disease,Musculoskeletal / neurologic,810,shoulder pain (64%); neck pain (53%); low back pain (52%); joint pain (51%); lower body pain (51%); loss of sensation (51%); hip pain (50%); paresthesia (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=degenerative+disc+disease,https://www.nhs.uk/search/results/?q=degenerative+disc+disease,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
32,dental_caries,Dental Caries,Dental / oral,1185,facial pain (52%); peripheral edema (52%); restlessness (52%); gum pain (52%); mouth pain (51%); ear pain (51%); toothache (51%); pain in gums (51%),Supportive self-care may help symptoms,"Brush gently with fluoride toothpaste, floss when tolerable, rinse with clean water after meals, limit sugary foods and drinks, and arrange dental evaluation. Home care cannot repair tooth decay.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=dental+caries,https://www.nhs.uk/search/results/?q=dental+caries,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
33,depression,Depression,Mental and behavioral health,830,disturbance of memory (62%); abusing alcohol (52%); temper problems (52%); drug abuse (52%); hostile behavior (52%); delusions or hallucinations (51%); depression (51%); insomnia (51%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=depression,https://www.nhs.uk/search/results/?q=depression,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
34,developmental_disability,Developmental Disability,Developmental,825,restlessness (65%); obsessions and compulsions (52%); hostile behavior (51%); temper problems (51%); fears and phobias (51%); delusions or hallucinations (51%); seizures (51%); difficulty speaking (50%),Professional assessment and support,"Use structured routines and supportive communication, and work with qualified developmental, education, and healthcare professionals. There is no single home remedy.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=developmental+disability,https://www.nhs.uk/search/results/?q=developmental+disability,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
35,diaper_rash,Diaper Rash,Skin / dermatologic,809,temper problems (64%); skin rash (54%); diaper rash (53%); nasal congestion (52%); diarrhea (52%); fever (52%); pulling at ears (51%); vomiting (51%),Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=diaper+rash,https://www.nhs.uk/search/results/?q=diaper+rash,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
36,diverticulitis,Diverticulitis,Digestive / hepatobiliary,1214,constipation (53%); sharp abdominal pain (52%); lower abdominal pain (51%); diarrhea (51%); nausea (51%); vomiting (50%); chills (50%); side pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=diverticulitis,https://www.nhs.uk/search/results/?q=diverticulitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
37,drug_reaction,Drug Reaction,Other clinical condition,811,nausea (65%); allergic reaction (53%); skin rash (53%); peripheral edema (52%); headache (51%); vomiting (51%); abnormal appearing skin (51%); dizziness (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=drug+reaction,https://www.nhs.uk/search/results/?q=drug+reaction,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
38,ear_drum_damage,Ear Drum Damage,Other clinical condition,819,pus draining from ear (64%); ringing in ear (53%); pulling at ears (53%); redness in ear (52%); ear pain (51%); plugged feeling in ear (51%); cough (50%); fluid in ear (49%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=ear+drum+damage,https://www.nhs.uk/search/results/?q=ear+drum+damage,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
39,eczema,Eczema,Skin / dermatologic,1207,itching of skin (52%); skin lesion (51%); acne or pimples (51%); skin swelling (51%); skin rash (51%); warts (51%); irregular appearing scalp (50%); skin irritation (50%),Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=eczema,https://www.nhs.uk/search/results/?q=eczema,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
40,esophagitis,Esophagitis,Digestive / hepatobiliary,1215,difficulty in swallowing (53%); upper abdominal pain (52%); vomiting (52%); sore throat (51%); cough (50%); nausea (50%); sharp chest pain (50%); chest tightness (50%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=esophagitis,https://www.nhs.uk/search/results/?q=esophagitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
41,eustachian_tube_dysfunction_ear_disorder,Eustachian Tube Dysfunction (Ear Disorder),Respiratory / ENT,810,sore throat (62%); abnormal breathing sounds (53%); ringing in ear (53%); ear pain (52%); allergic reaction (50%); diminished hearing (50%); swollen or red tonsils (50%); dizziness (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=eustachian+tube+dysfunction+%28ear+disorder%29,https://www.nhs.uk/search/results/?q=eustachian+tube+dysfunction+%28ear+disorder%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
42,fungal_infection_of_the_hair,Fungal Infection Of The Hair,Skin / dermatologic,1212,skin growth (52%); skin rash (51%); pelvic pain (51%); irregular appearing scalp (51%); skin lesion (51%); acne or pimples (50%); itching of skin (50%); itchy scalp (50%),Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=fungal+infection+of+the+hair,https://www.nhs.uk/search/results/?q=fungal+infection+of+the+hair,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
43,gallstone,Gallstone,Digestive / hepatobiliary,812,regurgitation.1 (63%); back pain (53%); burning abdominal pain (52%); upper abdominal pain (52%); lower body pain (51%); nausea (51%); side pain (51%); heartburn (51%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=gallstone,https://www.nhs.uk/search/results/?q=gallstone,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
44,gastrointestinal_hemorrhage,Gastrointestinal Hemorrhage,Digestive / hepatobiliary,1214,blood in stool (52%); rectal bleeding (51%); nausea (51%); sharp abdominal pain (51%); vomiting (51%); vomiting blood (50%); fainting (50%); changes in stool appearance (49%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Avoid aspirin or anti-inflammatory medicines unless specifically instructed.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=gastrointestinal+hemorrhage,https://www.nhs.uk/search/results/?q=gastrointestinal+hemorrhage,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
45,gout,Gout,Musculoskeletal / neurologic,1211,knee pain (53%); foot or toe pain (52%); knee swelling (52%); foot or toe swelling (52%); ankle pain (51%); wrist swelling (51%); ankle swelling (51%); hand or finger swelling (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=gout,https://www.nhs.uk/search/results/?q=gout,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
46,gum_disease,Gum Disease,Dental / oral,803,mouth ulcer (66%); toothache (53%); ear pain (52%); gum pain (52%); facial pain (51%); jaw swelling (51%); peripheral edema (51%); bleeding gums (50%),Supportive self-care may help symptoms,"Brush gently with fluoride toothpaste, floss when tolerable, rinse with clean water after meals, limit sugary foods and drinks, and arrange dental evaluation. Home care cannot repair tooth decay.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=gum+disease,https://www.nhs.uk/search/results/?q=gum+disease,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
47,heart_attack,Heart Attack,Cardiovascular,810,heartburn (61%); fainting (54%); nausea (53%); increased heart rate (52%); burning chest pain (51%); sweating (50%); arm pain (50%); sharp chest pain (49%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=heart+attack,https://www.nhs.uk/search/results/?q=heart+attack,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
48,heart_failure,Heart Failure,Cardiovascular,813,cough (65%); palpitations (52%); difficulty breathing (51%); sharp chest pain (51%); hurts to breath (51%); leg swelling (51%); fluid retention (50%); weight gain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Do not force fluids or change salt intake without professional advice.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=heart+failure,https://www.nhs.uk/search/results/?q=heart+failure,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
49,hemorrhoids,Hemorrhoids,Digestive / hepatobiliary,818,heartburn (65%); lower body pain (52%); rectal bleeding (52%); constipation (51%); changes in stool appearance (51%); itching of the anus (50%); mass or swelling around the anus (50%); pain of the anus (50%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=hemorrhoids,https://www.nhs.uk/search/results/?q=hemorrhoids,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
50,herniated_disk,Herniated Disk,Musculoskeletal / neurologic,828,arm pain (62%); low back pain (52%); paresthesia (52%); back pain (52%); neck pain (51%); hip pain (50%); leg pain (50%); shoulder pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=herniated+disk,https://www.nhs.uk/search/results/?q=herniated+disk,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
51,hiatal_hernia,Hiatal Hernia,Digestive / hepatobiliary,815,difficulty in swallowing (64%); sharp abdominal pain (53%); upper abdominal pain (53%); nausea (53%); back pain (51%); dizziness (51%); burning abdominal pain (51%); heartburn (51%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=hiatal+hernia,https://www.nhs.uk/search/results/?q=hiatal+hernia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
52,hyperemesis_gravidarum,Hyperemesis Gravidarum,Urinary / reproductive / pregnancy,815,vomiting blood (63%); burning abdominal pain (53%); pain during pregnancy (53%); nausea (52%); weakness (51%); headache (50%); diarrhea (50%); sharp abdominal pain (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=hyperemesis+gravidarum,https://www.nhs.uk/search/results/?q=hyperemesis+gravidarum,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
53,hypertensive_heart_disease,Hypertensive Heart Disease,Cardiovascular,804,leg swelling (65%); palpitations (54%); fatigue (52%); difficulty breathing (52%); chest tightness (51%); sharp chest pain (51%); recent pregnancy (50%); heartburn (49%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=hypertensive+heart+disease,https://www.nhs.uk/search/results/?q=hypertensive+heart+disease,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
54,hypoglycemia,Hypoglycemia,Systemic / metabolic,1215,feeling ill (51%); nausea (51%); seizures (51%); fainting (51%); sweating (51%); abnormal involuntary movements (50%); sleepiness (50%); dizziness (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. A person who is unconscious or unable to swallow must not be given food or drink.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=hypoglycemia,https://www.nhs.uk/search/results/?q=hypoglycemia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
55,idiopathic_excessive_menstruation,Idiopathic Excessive Menstruation,Urinary / reproductive / pregnancy,832,sharp abdominal pain (63%); frequent menstruation (53%); cramps and spasms (53%); painful menstruation (53%); unpredictable menstruation (53%); blood clots during menstrual periods (51%); long menstrual periods (51%); heavy menstrual flow (50%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=idiopathic+excessive+menstruation,https://www.nhs.uk/search/results/?q=idiopathic+excessive+menstruation,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
